N,absolute_change_near_cf_boundary,approximate_factor_acceptance_mass,approximate_mass_near_cf_boundary,approximate_order_acceptance_mass,base,cf_boundary_fraction,clean_distribution_tv,compiled_cx,compiled_cx_saving,compiled_depth,compiled_depth_saving,controlled_phase,controlled_phase_saving,cutoff,distribution_certified,distribution_m_shot_bound,distribution_tv,exact_controlled_phase,exact_factor_acceptance_mass,exact_mass_near_cf_boundary,exact_order_acceptance_mass,fraction_change_near_cf_boundary,hellinger_affinity,hellinger_certified,hellinger_product_bound,instance_id,known_factors_used,known_order_used_by_decoder,loss_budget,omitted_layers,order_dependent_approximate_mean_valid_phase_distance,order_dependent_exact_mean_valid_phase_distance,phase_modulus,phase_qubits,readout_bitflip_probability,shots,state_certified,state_m_shot_bound,state_norm_error,state_trace_distance,worst_case_certified,worst_case_m_shot_bound
35,0.0,0.8307307756478944,0.7928252943882714,0.8307307756478944,2,0.37255859375,0.0,150,0,92,0,66,0,11,True,0.0,0.0,66,0.8307307756478944,0.7928252943882714,0.8307307756478944,0.0,1.0,True,0.0,35:2,False,False,0.05,0,0.00016676448593551496,0.00016676448593551496,4096,12,0.0,4,True,0.0,0.0,0.0,True,0.0
35,0.0,0.8307307756478944,0.7928252943882714,0.8307307756478944,2,0.37255859375,0.0,150,0,92,0,66,0,11,True,0.0,0.0,66,0.8307307756478944,0.7928252943882714,0.8307307756478944,0.0,1.0,True,0.0,35:2,False,False,0.05,0,0.00016676448593551496,0.00016676448593551496,4096,12,0.0,8,True,0.0,0.0,0.0,True,0.0
35,0.0,0.8307307756478944,0.7928252943882714,0.8307307756478944,2,0.37255859375,0.0,150,0,92,0,66,0,11,True,0.0,0.0,66,0.8307307756478944,0.7928252943882714,0.8307307756478944,0.0,1.0,True,0.0,35:2,False,False,0.05,0,0.00016676448593551496,0.00016676448593551496,4096,12,0.0,16,True,0.0,0.0,0.0,True,0.0
35,0.0,0.8184226905693447,0.7735415163062423,0.8184226905693447,2,0.37255859375,0.0,150,0,92,0,66,0,11,True,0.0,0.0,66,0.8184226905693447,0.7735415163062423,0.8184226905693447,0.0,1.0,True,0.0,35:2,False,False,0.05,0,0.0013696225549092505,0.0013696225549092505,4096,12,0.01,4,True,0.0,0.0,0.0,True,0.0
35,0.0,0.8184226905693447,0.7735415163062423,0.8184226905693447,2,0.37255859375,0.0,150,0,92,0,66,0,11,True,0.0,0.0,66,0.8184226905693447,0.7735415163062423,0.8184226905693447,0.0,1.0,True,0.0,35:2,False,False,0.05,0,0.0013696225549092505,0.0013696225549092505,4096,12,0.01,8,True,0.0,0.0,0.0,True,0.0
35,0.0,0.8184226905693447,0.7735415163062423,0.8184226905693447,2,0.37255859375,0.0,150,0,92,0,66,0,11,True,0.0,0.0,66,0.8184226905693447,0.7735415163062423,0.8184226905693447,0.0,1.0,True,0.0,35:2,False,False,0.05,0,0.0013696225549092505,0.0013696225549092505,4096,12,0.01,16,True,0.0,0.0,0.0,True,0.0
35,5.766290608485937e-17,0.8307307756478943,0.7928252943882714,0.8307307756478943,2,0.37255859375,2.990727752967125e-17,148,2,92,0,65,1,10,True,1.19629110118685e-16,2.990727752967125e-17,66,0.8307307756478944,0.7928252943882714,0.8307307756478944,0.9640280033455324,1.0,True,0.0,35:2,False,False,0.05,1,0.00016676448593551496,0.00016676448593551496,4096,12,0.0,4,True,0.0026569324127670253,0.0007669903187426925,0.0006642331031917563,True,0.01227184630308513
35,5.766290608485937e-17,0.8307307756478943,0.7928252943882714,0.8307307756478943,2,0.37255859375,2.990727752967125e-17,148,2,92,0,65,1,10,True,2.3925822023737e-16,2.990727752967125e-17,66,0.8307307756478944,0.7928252943882714,0.8307307756478944,0.9640280033455324,1.0,True,0.0,35:2,False,False,0.05,1,0.00016676448593551496,0.00016676448593551496,4096,12,0.0,8,True,0.005313864825534051,0.0007669903187426925,0.0006642331031917563,True,0.02454369260617026
35,5.766290608485937e-17,0.8307307756478943,0.7928252943882714,0.8307307756478943,2,0.37255859375,2.990727752967125e-17,148,2,92,0,65,1,10,True,4.7851644047474e-16,2.990727752967125e-17,66,0.8307307756478944,0.7928252943882714,0.8307307756478944,0.9640280033455324,1.0,True,0.0,35:2,False,False,0.05,1,0.00016676448593551496,0.00016676448593551496,4096,12,0.0,16,True,0.010627729651068101,0.0007669903187426925,0.0006642331031917563,True,0.04908738521234052
35,6.24788177855921e-17,0.8184226905693446,0.7735415163062423,0.8184226905693446,2,0.37255859375,2.990727752967125e-17,148,2,92,0,65,1,10,True,1.3463101652662433e-16,3.365775413165608e-17,66,0.8184226905693447,0.7735415163062423,0.8184226905693447,0.9281489421605374,1.0,True,0.0,35:2,False,False,0.05,1,0.0013696225549092505,0.0013696225549092505,4096,12,0.01,4,True,0.0026569324127670253,0.0007669903187426925,0.0006642331031917563,True,0.01227184630308513
35,6.24788177855921e-17,0.8184226905693446,0.7735415163062423,0.8184226905693446,2,0.37255859375,2.990727752967125e-17,148,2,92,0,65,1,10,True,2.6926203305324865e-16,3.365775413165608e-17,66,0.8184226905693447,0.7735415163062423,0.8184226905693447,0.9281489421605374,1.0,True,0.0,35:2,False,False,0.05,1,0.0013696225549092505,0.0013696225549092505,4096,12,0.01,8,True,0.005313864825534051,0.0007669903187426925,0.0006642331031917563,True,0.02454369260617026
35,6.24788177855921e-17,0.8184226905693446,0.7735415163062423,0.8184226905693446,2,0.37255859375,2.990727752967125e-17,148,2,92,0,65,1,10,True,5.385240661064973e-16,3.365775413165608e-17,66,0.8184226905693447,0.7735415163062423,0.8184226905693447,0.9281489421605374,1.0,True,0.0,35:2,False,False,0.05,1,0.0013696225549092505,0.0013696225549092505,4096,12,0.01,16,True,0.010627729651068101,0.0007669903187426925,0.0006642331031917563,True,0.04908738521234052
35,6.000280813186977e-17,0.8307307756478943,0.7928252943882714,0.8307307756478943,2,0.37255859375,3.1606531500981785e-17,144,6,92,0,63,3,9,True,1.2642612600392714e-16,3.1606531500981785e-17,66,0.8307307756478944,0.7928252943882714,0.8307307756478944,0.9492153248452131,1.0,True,0.0,35:2,False,False,0.05,2,0.00016676448593551496,0.00016676448593551496,4096,12,0.0,4,True,0.009171858393776319,0.002869811072586426,0.0022929645984440796,False,0.06135923151542565
