M,N,approximate_entropy_bits,approximate_peak,approximate_top2_gap,compiled_cx,compiled_cx_saving,compiled_depth,compiled_depth_saving,cp_saving,cutoff,cutoff_cp,d,distribution_m_shot_bound,distribution_tv,distribution_tv_certified,entropy_broadening_bits,exact_cp,exact_entropy_bits,exact_peak,exact_top2_gap,fraction_change_on_low_probability_outcomes,hellinger_affinity,hellinger_certified,hellinger_product_bound,m,model,omitted_layers,one_register_operator_error,original_certified,original_m_shot_bound,original_per_shot_bound,peak_torus_displacement,phase_triangle_bound,product_operator_error,product_triangle_bound,q,state_certified,state_m_shot_bound,state_norm_error,state_trace_bound,top2_gap_change
8,85,4.0,"[0, 0]",0.0,6,12,6,14,6,0,0,2,0.0,0.0,True,0.0,6,4.0,"[0, 0]",0.0,0.0,1.0,True,0.0,7,A_uniform_hard_box,2,1.98288972274762,False,1.0,1.0,0.0,3.9269908169872414,1.9999999999999993,7.853981633974483,3,False,1.0,1.1944775825843847,0.9248533725603422,0.0
8,85,4.0,"[0, 0]",0.0,14,4,18,2,2,1,4,2,0.0,0.0,True,0.0,6,4.0,"[0, 0]",0.0,0.0,1.0,True,0.0,7,A_uniform_hard_box,1,0.7653668647301793,False,1.0,1.0,0.0,0.7853981633974483,1.4142135623730947,1.5707963267948966,3,False,1.0,0.3826834323650896,0.3314135740355934,0.0
8,85,4.0,"[0, 0]",0.0,18,0,20,0,0,2,6,2,0.0,0.0,True,0.0,6,4.0,"[0, 0]",0.0,0.0,1.0,True,0.0,7,A_uniform_hard_box,0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,3,True,2.086162567138672e-07,0.0,2.9802322387695312e-08,0.0
8,85,5.8164767757005755,"[0, 0]",0.0,6,12,6,14,6,0,0,2,0.19743388720434898,0.028204841029192712,False,-0.007401415968102398,6,5.823878191668678,"[0, 0]",0.0,1.0,0.9987112093519933,False,0.13376358329297058,7,B_exact_finite_discrete_gaussian,2,1.98288972274762,False,1.0,1.0,0.0,3.9269908169872414,1.9999999999999993,7.853981633974483,3,False,1.0,1.2409339920567184,0.9429370464669821,0.0
8,85,5.823878191668678,"[0, 0]",0.0,14,4,18,2,2,1,4,2,0.0,0.0,True,0.0,6,5.823878191668678,"[0, 0]",0.0,0.0,1.0,True,0.0,7,B_exact_finite_discrete_gaussian,1,0.7653668647301793,False,1.0,1.0,0.0,0.7853981633974483,1.4142135623730947,1.5707963267948966,3,False,1.0,0.5145351370384272,0.4196076407887732,0.0
8,85,5.823878191668678,"[0, 0]",0.0,18,0,20,0,0,2,6,2,0.0,0.0,True,0.0,6,5.823878191668678,"[0, 0]",0.0,0.0,1.0,True,0.0,7,B_exact_finite_discrete_gaussian,0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,3,True,2.950279395762582e-07,0.0,4.2146848510894035e-08,0.0
8,95,5.573448473093168,"[0, 0]",0.0,6,12,6,14,6,0,0,2,1.0,0.2623552769683682,False,0.12063074677027696,6,5.452817726322891,"[0, 0]",0.0,0.48037579548066056,0.9339572216638101,False,0.7847177403612094,7,A_uniform_hard_box,2,1.98288972274762,False,1.0,1.0,0.0,3.9269908169872414,1.9999999999999993,7.853981633974483,3,False,1.0,1.3547979712654405,0.9662590313941921,0.0
8,95,5.572505120327866,"[0, 0]",0.0,14,4,18,2,2,1,4,2,0.5612827482112045,0.08018324974445779,False,0.11968739400497519,6,5.452817726322891,"[0, 0]",0.0,0.5000000000000003,0.991986205564271,False,0.32639284726686,7,A_uniform_hard_box,1,0.7653668647301793,False,1.0,1.0,0.0,0.7853981633974483,1.4142135623730947,1.5707963267948966,3,False,1.0,0.587085951211651,0.45563822965024303,0.0
8,95,5.452817726322891,"[0, 0]",0.0,18,0,20,0,0,2,6,2,0.0,0.0,True,0.0,6,5.452817726322891,"[0, 0]",0.0,0.0,1.0,True,0.0,7,A_uniform_hard_box,0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,3,True,2.086162567138672e-07,0.0,2.9802322387695312e-08,0.0
8,95,5.960919994889803,"[0, 0]",0.0,6,12,6,14,6,0,0,2,0.5585251960482795,0.0797893137211828,False,0.023838925786115794,6,5.937081069103687,"[0, 0]",0.0,0.5860203690880649,0.9946571165437852,False,0.2688072839623026,7,B_exact_finite_discrete_gaussian,2,1.98288972274762,False,1.0,1.0,0.0,3.9269908169872414,1.9999999999999993,7.853981633974483,3,False,1.0,1.31391489293819,0.9597898041643348,0.0
8,95,5.9549276454187865,"[0, 0]",0.0,14,4,18,2,2,1,4,2,0.21022396929430268,0.03003199561347181,False,0.017846576315099227,6,5.937081069103687,"[0, 0]",0.0,0.5411424071643534,0.9992120733546407,False,0.10475998912962067,7,B_exact_finite_discrete_gaussian,1,0.7653668647301793,False,1.0,1.0,0.0,0.7853981633974483,1.4142135623730947,1.5707963267948966,3,False,1.0,0.5860337422060623,0.45519166895644564,0.0
8,95,5.937081069103687,"[0, 0]",0.0,18,0,20,0,0,2,6,2,0.0,0.0,True,0.0,6,5.937081069103687,"[0, 0]",0.0,0.0,1.0,True,0.0,7,B_exact_finite_discrete_gaussian,0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,3,True,2.950279395762582e-07,0.0,4.2146848510894035e-08,0.0
8,115,5.756034034853288,"[0, 0]",0.0,6,12,6,14,6,0,0,2,1.0,0.3242088854806966,False,0.26653406784691214,6,5.489499967006376,"[0, 0]",0.0,0.5150606991932389,0.9102628448610084,False,0.8554976117356019,7,A_uniform_hard_box,2,1.98288972274762,False,1.0,1.0,0.0,3.9269908169872414,1.9999999999999993,7.853981633974483,3,False,1.0,1.3800179817151055,0.9665744270840365,0.0
8,115,5.6822611096117885,"[0, 0]",0.0,14,4,18,2,2,1,4,2,0.7256298321197967,0.1036614045885424,False,0.19276114260541277,6,5.489499967006376,"[0, 0]",0.0,0.5565241713949115,0.9856970825273491,False,0.42737454850350104,7,A_uniform_hard_box,1,0.7653668647301793,False,1.0,1.0,0.0,0.7853981633974483,1.4142135623730947,1.5707963267948966,3,False,1.0,0.587085951211651,0.45563822965024303,0.0
8,115,5.489499967006376,"[0, 0]",0.0,18,0,20,0,0,2,6,2,0.0,0.0,True,0.0,6,5.489499967006376,"[0, 0]",0.0,0.0,1.0,True,0.0,7,A_uniform_hard_box,0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,3,True,2.086162567138672e-07,0.0,2.9802322387695312e-08,0.0
8,115,5.941867508381419,"[0, 0]",0.0,6,12,6,14,6,0,0,2,1.0,0.19791798847095327,False,0.1415657555701184,6,5.800301752811301,"[0, 0]",0.0,0.528632683873785,0.9660948802221963,False,0.6188793908289197,7,B_exact_finite_discrete_gaussian,2,1.98288972274762,False,1.0,1.0,0.0,3.9269908169872414,1.9999999999999993,7.853981633974483,3,False,1.0,1.3169638366019298,0.955072683633791,0.0
8,115,5.889513771305316,"[0, 0]",0.0,14,4,18,2,2,1,4,2,0.42435437187487346,0.06062205312498192,False,0.08921201849401506,6,5.800301752811301,"[0, 0]",0.0,0.5063929817994594,0.9954355577493801,False,0.24907924413797275,7,B_exact_finite_discrete_gaussian,1,0.7653668647301793,False,1.0,1.0,0.0,0.7853981633974483,1.4142135623730947,1.5707963267948966,3,False,1.0,0.5860337422060622,0.45519166895644564,0.0
8,115,5.800301752811301,"[0, 0]",0.0,18,0,20,0,0,2,6,2,0.0,0.0,True,0.0,6,5.800301752811301,"[0, 0]",0.0,0.0,1.0,True,0.0,7,B_exact_finite_discrete_gaussian,0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,3,True,2.950279395762582e-07,0.0,4.2146848510894035e-08,0.0
8,119,5.620741187155563,"[0, 0]",0.0,6,12,6,14,6,0,0,2,1.0,0.201391989008219,False,0.06272499334527915,6,5.558016193810284,"[0, 0]",0.0,0.4418112405676586,0.9643164527340953,False,0.6314457375865158,7,A_uniform_hard_box,2,1.98288972274762,False,1.0,1.0,0.0,3.9269908169872414,1.9999999999999993,7.853981633974483,3,False,1.0,1.350714255306767,0.965772815632426,0.0
8,119,5.593417373059252,"[0, 0]",0.0,14,4,18,2,2,1,4,2,0.27343750000000056,0.039062500000000076,False,0.03540117924896791,6,5.558016193810284,"[0, 0]",0.0,0.49999999999999956,0.9968178520361228,False,0.20890243313546414,7,A_uniform_hard_box,1,0.7653668647301793,False,1.0,1.0,0.0,0.7853981633974483,1.4142135623730947,1.5707963267948966,3,False,1.0,0.587085951211651,0.4556382296502423,0.0
8,119,5.558016193810284,"[0, 0]",0.0,18,0,20,0,0,2,6,2,0.0,0.0,True,0.0,6,5.558016193810284,"[0, 0]",0.0,0.0,1.0,True,0.0,7,A_uniform_hard_box,0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,3,True,2.3324006561187697e-07,0.0,3.332000937312528e-08,0.0
8,119,5.973994579494754,"[0, 0]",0.0,6,12,6,14,6,0,0,2,0.17656747988153154,0.02522392569736165,False,0.0005224040705460453,6,5.973472175424208,"[0, 0]",0.0,0.518660383813918,0.9994396877793116,False,0.0884073842610777,7,B_exact_finite_discrete_gaussian,2,1.98288972274762,False,1.0,1.0,0.0,3.9269908169872414,1.9999999999999993,7.853981633974483,3,False,1.0,1.3138862139824654,0.9597844321061675,0.0
8,119,5.974351839563376,"[0, 0]",0.0,14,4,18,2,2,1,4,2,0.036491646314963155,0.005213092330709022,True,0.0008796641391679572,6,5.973472175424208,"[0, 0]",0.0,0.500000000000003,0.9999665666433835,True,0.021632505342750182,7,B_exact_finite_discrete_gaussian,1,0.7653668647301793,False,1.0,1.0,0.0,0.7853981633974483,1.4142135623730947,1.5707963267948966,3,False,1.0,0.5860337422060622,0.45519166895644564,0.0
8,119,5.973472175424208,"[0, 0]",0.0,18,0,20,0,0,2,6,2,0.0,0.0,True,0.0,6,5.973472175424208,"[0, 0]",0.0,0.0,1.0,True,0.0,7,B_exact_finite_discrete_gaussian,0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,3,True,2.759733673550507e-07,0.0,3.942476676500724e-08,0.0
8,133,5.8840124624777665,"[0, 0]",0.006835937500000007,6,12,6,14,6,0,0,2,1.0,0.25034207854047263,False,0.17583863583119808,6,5.7081738266465685,"[0, 0]",0.0028602853399751355,0.5043167562813962,0.9417080823842435,False,0.7540899292670105,7,A_uniform_hard_box,2,1.98288972274762,False,1.0,1.0,0.0,3.9269908169872414,1.9999999999999993,7.853981633974483,3,False,1.0,1.3788450189927053,0.9591452061690071,0.0039756521600248715
8,133,5.8198849650646185,"[0, 0]",0.009765625000000003,14,4,18,2,2,1,4,2,0.49458204978330866,0.07065457854047266,False,0.11171113841805003,6,5.7081738266465685,"[0, 0]",0.0028602853399751355,0.5138216449687066,0.9937008237665355,False,0.2909760243892645,7,A_uniform_hard_box,1,0.7653668647301793,False,1.0,1.0,0.0,0.7853981633974483,1.4142135623730947,1.5707963267948966,3,False,1.0,0.587085951211651,0.4556382296502428,0.006905339660024868
8,133,5.7081738266465685,"[0, 0]",0.0028602853399751355,18,0,20,0,0,2,6,2,0.0,0.0,True,0.0,6,5.7081738266465685,"[0, 0]",0.0028602853399751355,0.0,1.0,True,0.0,7,A_uniform_hard_box,0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,3,True,2.086162567138672e-07,0.0,2.9802322387695312e-08,0.0
8,133,5.989350667150491,"[0, 0]",0.0008615795268832153,6,12,6,14,6,0,0,2,0.5623855097429485,0.0803407871061355,False,0.026333474521365474,6,5.963017192629126,"[0, 0]",0.00012617540044630032,0.5120815878399579,0.9947446370197084,False,0.26667179302931243,7,B_exact_finite_discrete_gaussian,2,1.98288972274762,False,1.0,1.0,0.0,3.9269908169872414,1.9999999999999993,7.853981633974483,3,False,1.0,1.3162236197953376,0.9546590562243678,0.000735404126436915
8,133,5.979218213467968,"[0, 0]",0.00043078976344160594,14,4,18,2,2,1,4,2,0.1859023306068021,0.02655747580097173,False,0.01620102083884234,6,5.963017192629126,"[0, 0]",0.00012617540044630032,0.5002556716110041,0.9992989488162856,False,0.09884390585416583,7,B_exact_finite_discrete_gaussian,1,0.7653668647301793,False,1.0,1.0,0.0,0.7853981633974483,1.4142135623730947,1.5707963267948966,3,False,1.0,0.5860337422060621,0.4551916689564455,0.0003046143629953056
