M,N,cutoff,factor_ci95_high,factor_ci95_low,factor_probability,lminus_ci95_high,lminus_ci95_low,lminus_probability,mean_lll_runtime_seconds,model,omitted_layers,replicates
32,65,1,0.5130830570559759,0.28055388546896454,0.390625,0.5130830570559759,0.28055388546896454,0.390625,0.0016869902829057537,A_uniform_hard_box,3,64
32,65,2,0.7742960423291224,0.5499887622745426,0.671875,0.7742960423291224,0.5499887622745426,0.671875,0.0017207702167070238,A_uniform_hard_box,2,64
32,65,3,0.8140677389451542,0.598658376004965,0.71875,0.8140677389451542,0.598658376004965,0.71875,0.001685267586253758,A_uniform_hard_box,1,64
32,65,4,0.8140677389451542,0.598658376004965,0.71875,0.8140677389451542,0.598658376004965,0.71875,0.001619755914362031,A_uniform_hard_box,0,64
32,65,0,0.20898863291938535,0.054000447526830544,0.109375,0.20898863291938535,0.054000447526830544,0.109375,0.001683600949945685,B_exact_finite_discrete_gaussian,4,64
32,65,1,0.22774786330215924,0.064721653926208,0.125,0.22774786330215924,0.064721653926208,0.125,0.0017209928782904171,B_exact_finite_discrete_gaussian,3,64
32,65,2,0.38483106257235195,0.17296238569537764,0.265625,0.38483106257235195,0.17296238569537764,0.265625,0.00243311201211327,B_exact_finite_discrete_gaussian,2,64
32,65,3,0.45001123772545737,0.2257039576708776,0.328125,0.45001123772545737,0.2257039576708776,0.328125,0.0017405580310878577,B_exact_finite_discrete_gaussian,1,64
32,65,4,0.45001123772545737,0.2257039576708776,0.328125,0.45001123772545737,0.2257039576708776,0.328125,0.00169484050002211,B_exact_finite_discrete_gaussian,0,64
8,85,0,0.10697493882294247,0.00861195771251659,0.03125,0.10697493882294247,0.00861195771251659,0.03125,0.001483006564740208,A_uniform_hard_box,2,64
8,85,1,0.10697493882294247,0.00861195771251659,0.03125,0.10697493882294247,0.00861195771251659,0.03125,0.0014826237502347794,A_uniform_hard_box,1,64
8,85,2,0.10697493882294247,0.00861195771251659,0.03125,0.10697493882294247,0.00861195771251659,0.03125,0.0014956497489038156,A_uniform_hard_box,0,64
8,85,0,0.08334298900290629,0.0027634707504014047,0.015625,0.08334298900290629,0.0027634707504014047,0.015625,0.0015601061559209484,B_exact_finite_discrete_gaussian,2,64
8,85,1,0.08334298900290629,0.0027634707504014047,0.015625,0.08334298900290629,0.0027634707504014047,0.015625,0.0015653268683308852,B_exact_finite_discrete_gaussian,1,64
