M,N,cutoff,model,observed_value,proof_step,slack_factor,theoretical_bound
8,65,0,B_exact_finite_discrete_gaussian,1.98288972274762,omitted_gate_triangle,1.9804383329728237,3.9269908169872414
8,65,0,B_exact_finite_discrete_gaussian,1.9999999999999993,product_tensor_triangle,3.9269908169872427,7.853981633974483
8,65,0,B_exact_finite_discrete_gaussian,0.9705576897905629,prepared_state_restriction,2.0606709122376645,1.9999999999999993
8,65,0,B_exact_finite_discrete_gaussian,0.1515249284817296,measurement_data_processing,6.4052674336526065,0.9705576897905629
8,65,0,B_exact_finite_discrete_gaussian,0.6129512027386833,sample_union_vs_hellinger,1.6314512403792858,1.0
8,65,0,B_exact_finite_discrete_gaussian,0.234375,distribution_bound_vs_factor_event,2.6152584650183823,0.6129512027386833
8,65,1,B_exact_finite_discrete_gaussian,0.7653668647301793,omitted_gate_triangle,1.0261721529770311,0.7853981633974483
8,65,1,B_exact_finite_discrete_gaussian,1.4142135623730947,product_tensor_triangle,1.1107207345395917,1.5707963267948966
8,65,1,B_exact_finite_discrete_gaussian,0.46033772946045814,prepared_state_restriction,3.0721217746601672,1.4142135623730947
8,65,1,B_exact_finite_discrete_gaussian,5.551115123125783e-17,measurement_data_processing,8292707307450798.0,0.46033772946045814
8,65,1,B_exact_finite_discrete_gaussian,0.0,sample_union_vs_hellinger,,3.885780586188048e-16
8,65,1,B_exact_finite_discrete_gaussian,0.0,distribution_bound_vs_factor_event,,0.0
8,65,2,B_exact_finite_discrete_gaussian,0.0,omitted_gate_triangle,,0.0
8,65,2,B_exact_finite_discrete_gaussian,0.0,product_tensor_triangle,,0.0
8,65,2,B_exact_finite_discrete_gaussian,3.942476676500724e-08,prepared_state_restriction,0.0,0.0
8,65,2,B_exact_finite_discrete_gaussian,0.0,measurement_data_processing,,3.942476676500724e-08
8,65,2,B_exact_finite_discrete_gaussian,0.0,sample_union_vs_hellinger,,0.0
8,65,2,B_exact_finite_discrete_gaussian,0.0,distribution_bound_vs_factor_event,,0.0
8,85,0,A_uniform_hard_box,1.98288972274762,omitted_gate_triangle,1.9804383329728237,3.9269908169872414
8,85,0,A_uniform_hard_box,1.9999999999999993,product_tensor_triangle,3.9269908169872427,7.853981633974483
8,85,0,A_uniform_hard_box,0.9248533725603422,prepared_state_restriction,2.1625049541239676,1.9999999999999993
8,85,0,A_uniform_hard_box,0.0,measurement_data_processing,,0.9248533725603422
8,85,0,A_uniform_hard_box,0.0,sample_union_vs_hellinger,,0.0
8,85,0,A_uniform_hard_box,0.0,distribution_bound_vs_factor_event,,0.0
8,85,1,A_uniform_hard_box,0.7653668647301793,omitted_gate_triangle,1.0261721529770311,0.7853981633974483
8,85,1,A_uniform_hard_box,1.4142135623730947,product_tensor_triangle,1.1107207345395917,1.5707963267948966
8,85,1,A_uniform_hard_box,0.3314135740355934,prepared_state_restriction,4.267216774353394,1.4142135623730947
8,85,1,A_uniform_hard_box,0.0,measurement_data_processing,,0.3314135740355934
8,85,1,A_uniform_hard_box,0.0,sample_union_vs_hellinger,,0.0
8,85,1,A_uniform_hard_box,0.0,distribution_bound_vs_factor_event,,0.0
8,85,2,A_uniform_hard_box,0.0,omitted_gate_triangle,,0.0
8,85,2,A_uniform_hard_box,0.0,product_tensor_triangle,,0.0
8,85,2,A_uniform_hard_box,2.9802322387695312e-08,prepared_state_restriction,0.0,0.0
8,85,2,A_uniform_hard_box,0.0,measurement_data_processing,,2.9802322387695312e-08
8,85,2,A_uniform_hard_box,0.0,sample_union_vs_hellinger,,0.0
8,85,2,A_uniform_hard_box,0.0,distribution_bound_vs_factor_event,,0.0
8,85,0,B_exact_finite_discrete_gaussian,1.98288972274762,omitted_gate_triangle,1.9804383329728237,3.9269908169872414
8,85,0,B_exact_finite_discrete_gaussian,1.9999999999999993,product_tensor_triangle,3.9269908169872427,7.853981633974483
8,85,0,B_exact_finite_discrete_gaussian,0.9429370464669821,prepared_state_restriction,2.1210323716664274,1.9999999999999993
8,85,0,B_exact_finite_discrete_gaussian,0.028204841029192712,measurement_data_processing,33.431744766475326,0.9429370464669821
8,85,0,B_exact_finite_discrete_gaussian,0.13376358329297058,sample_union_vs_hellinger,1.4759913150048243,0.19743388720434898
8,85,0,B_exact_finite_discrete_gaussian,0.0,distribution_bound_vs_factor_event,,0.13376358329297058
8,85,1,B_exact_finite_discrete_gaussian,0.7653668647301793,omitted_gate_triangle,1.0261721529770311,0.7853981633974483
8,85,1,B_exact_finite_discrete_gaussian,1.4142135623730947,product_tensor_triangle,1.1107207345395917,1.5707963267948966
8,85,1,B_exact_finite_discrete_gaussian,0.4196076407887732,prepared_state_restriction,3.37032366644867,1.4142135623730947
8,85,1,B_exact_finite_discrete_gaussian,0.0,measurement_data_processing,,0.4196076407887732
8,85,1,B_exact_finite_discrete_gaussian,0.0,sample_union_vs_hellinger,,0.0
8,85,1,B_exact_finite_discrete_gaussian,0.0,distribution_bound_vs_factor_event,,0.0
8,85,2,B_exact_finite_discrete_gaussian,0.0,omitted_gate_triangle,,0.0
8,85,2,B_exact_finite_discrete_gaussian,0.0,product_tensor_triangle,,0.0
8,85,2,B_exact_finite_discrete_gaussian,4.2146848510894035e-08,prepared_state_restriction,0.0,0.0
8,85,2,B_exact_finite_discrete_gaussian,0.0,measurement_data_processing,,4.2146848510894035e-08
8,85,2,B_exact_finite_discrete_gaussian,0.0,sample_union_vs_hellinger,,0.0
8,85,2,B_exact_finite_discrete_gaussian,0.0,distribution_bound_vs_factor_event,,0.0
8,95,0,A_uniform_hard_box,1.98288972274762,omitted_gate_triangle,1.9804383329728237,3.9269908169872414
8,95,0,A_uniform_hard_box,1.9999999999999993,product_tensor_triangle,3.9269908169872427,7.853981633974483
8,95,0,A_uniform_hard_box,0.9662590313941921,prepared_state_restriction,2.0698383508139084,1.9999999999999993
8,95,0,A_uniform_hard_box,0.2623552769683682,measurement_data_processing,3.6830173288669648,0.9662590313941921
8,95,0,A_uniform_hard_box,0.7847177403612094,sample_union_vs_hellinger,1.2743435614692424,1.0
8,95,0,A_uniform_hard_box,0.0,distribution_bound_vs_factor_event,,0.7847177403612094
8,95,1,A_uniform_hard_box,0.7653668647301793,omitted_gate_triangle,1.0261721529770311,0.7853981633974483
8,95,1,A_uniform_hard_box,1.4142135623730947,product_tensor_triangle,1.1107207345395917,1.5707963267948966
8,95,1,A_uniform_hard_box,0.45563822965024303,prepared_state_restriction,3.103807956278544,1.4142135623730947
8,95,1,A_uniform_hard_box,0.08018324974445779,measurement_data_processing,5.682461500405033,0.45563822965024303
8,95,1,A_uniform_hard_box,0.32639284726686,sample_union_vs_hellinger,1.7196539474172288,0.5612827482112045
8,95,1,A_uniform_hard_box,0.0,distribution_bound_vs_factor_event,,0.32639284726686
8,95,2,A_uniform_hard_box,0.0,omitted_gate_triangle,,0.0
8,95,2,A_uniform_hard_box,0.0,product_tensor_triangle,,0.0
8,95,2,A_uniform_hard_box,2.9802322387695312e-08,prepared_state_restriction,0.0,0.0
8,95,2,A_uniform_hard_box,0.0,measurement_data_processing,,2.9802322387695312e-08
8,95,2,A_uniform_hard_box,0.0,sample_union_vs_hellinger,,0.0
8,95,2,A_uniform_hard_box,0.0,distribution_bound_vs_factor_event,,0.0
8,95,0,B_exact_finite_discrete_gaussian,1.98288972274762,omitted_gate_triangle,1.9804383329728237,3.9269908169872414
8,95,0,B_exact_finite_discrete_gaussian,1.9999999999999993,product_tensor_triangle,3.9269908169872427,7.853981633974483
8,95,0,B_exact_finite_discrete_gaussian,0.9597898041643348,prepared_state_restriction,2.0837895873892407,1.9999999999999993
8,95,0,B_exact_finite_discrete_gaussian,0.0797893137211828,measurement_data_processing,12.029052004611062,0.9597898041643348
8,95,0,B_exact_finite_discrete_gaussian,0.2688072839623026,sample_union_vs_hellinger,2.077790407370832,0.5585251960482795
8,95,0,B_exact_finite_discrete_gaussian,0.0,distribution_bound_vs_factor_event,,0.2688072839623026
8,95,1,B_exact_finite_discrete_gaussian,0.7653668647301793,omitted_gate_triangle,1.0261721529770311,0.7853981633974483
8,95,1,B_exact_finite_discrete_gaussian,1.4142135623730947,product_tensor_triangle,1.1107207345395917,1.5707963267948966
8,95,1,B_exact_finite_discrete_gaussian,0.45519166895644564,prepared_state_restriction,3.1068529123462754,1.4142135623730947
8,95,1,B_exact_finite_discrete_gaussian,0.03003199561347181,measurement_data_processing,15.156890498221,0.45519166895644564
8,95,1,B_exact_finite_discrete_gaussian,0.10475998912962067,sample_union_vs_hellinger,2.0067200373053713,0.21022396929430268
8,95,1,B_exact_finite_discrete_gaussian,0.0,distribution_bound_vs_factor_event,,0.10475998912962067
8,95,2,B_exact_finite_discrete_gaussian,0.0,omitted_gate_triangle,,0.0
8,95,2,B_exact_finite_discrete_gaussian,0.0,product_tensor_triangle,,0.0
8,95,2,B_exact_finite_discrete_gaussian,4.2146848510894035e-08,prepared_state_restriction,0.0,0.0
8,95,2,B_exact_finite_discrete_gaussian,0.0,measurement_data_processing,,4.2146848510894035e-08
8,95,2,B_exact_finite_discrete_gaussian,0.0,sample_union_vs_hellinger,,0.0
8,95,2,B_exact_finite_discrete_gaussian,0.0,distribution_bound_vs_factor_event,,0.0
8,115,0,A_uniform_hard_box,1.98288972274762,omitted_gate_triangle,1.9804383329728237,3.9269908169872414
8,115,0,A_uniform_hard_box,1.9999999999999993,product_tensor_triangle,3.9269908169872427,7.853981633974483
8,115,0,A_uniform_hard_box,0.9665744270840365,prepared_state_restriction,2.0691629573043877,1.9999999999999993
8,115,0,A_uniform_hard_box,0.3242088854806966,measurement_data_processing,2.9813323149700857,0.9665744270840365
8,115,0,A_uniform_hard_box,0.8554976117356019,sample_union_vs_hellinger,1.168910335087011,1.0
8,115,0,A_uniform_hard_box,0.109375,distribution_bound_vs_factor_event,7.8216924501540745,0.8554976117356019
8,115,1,A_uniform_hard_box,0.7653668647301793,omitted_gate_triangle,1.0261721529770311,0.7853981633974483
8,115,1,A_uniform_hard_box,1.4142135623730947,product_tensor_triangle,1.1107207345395917,1.5707963267948966
8,115,1,A_uniform_hard_box,0.45563822965024303,prepared_state_restriction,3.103807956278544,1.4142135623730947
8,115,1,A_uniform_hard_box,0.1036614045885424,measurement_data_processing,4.395447191351335,0.45563822965024303
8,115,1,A_uniform_hard_box,0.42737454850350104,sample_union_vs_hellinger,1.697877972988025,0.7256298321197967
8,115,1,A_uniform_hard_box,0.03125,distribution_bound_vs_factor_event,13.675985552112033,0.42737454850350104
8,115,2,A_uniform_hard_box,0.0,omitted_gate_triangle,,0.0
8,115,2,A_uniform_hard_box,0.0,product_tensor_triangle,,0.0
8,115,2,A_uniform_hard_box,2.9802322387695312e-08,prepared_state_restriction,0.0,0.0
8,115,2,A_uniform_hard_box,0.0,measurement_data_processing,,2.9802322387695312e-08
8,115,2,A_uniform_hard_box,0.0,sample_union_vs_hellinger,,0.0
8,115,2,A_uniform_hard_box,0.0,distribution_bound_vs_factor_event,,0.0
8,115,0,B_exact_finite_discrete_gaussian,1.98288972274762,omitted_gate_triangle,1.9804383329728237,3.9269908169872414
8,115,0,B_exact_finite_discrete_gaussian,1.9999999999999993,product_tensor_triangle,3.9269908169872427,7.853981633974483
8,115,0,B_exact_finite_discrete_gaussian,0.955072683633791,prepared_state_restriction,2.0940814602617936,1.9999999999999993
8,115,0,B_exact_finite_discrete_gaussian,0.19791798847095327,measurement_data_processing,4.825598173326013,0.955072683633791
8,115,0,B_exact_finite_discrete_gaussian,0.6188793908289197,sample_union_vs_hellinger,1.6158237207747568,1.0
8,115,0,B_exact_finite_discrete_gaussian,0.0625,distribution_bound_vs_factor_event,9.902070253262716,0.6188793908289197
8,115,1,B_exact_finite_discrete_gaussian,0.7653668647301793,omitted_gate_triangle,1.0261721529770311,0.7853981633974483
