M,N,candidate_count,cutoff,factor_success,lll_runtime_seconds,lminus_success,model,omitted_layers,q,replicate,seed
8,55,1,0,False,0.0014936670195311308,False,A_uniform_hard_box,2,3,62,2026071363
8,55,0,0,False,0.0014846670092083514,False,A_uniform_hard_box,2,3,63,2026071364
8,55,0,1,False,0.0013911660062149167,False,A_uniform_hard_box,1,3,0,2026071301
8,55,0,1,False,0.0015123749617487192,False,A_uniform_hard_box,1,3,1,2026071302
8,55,0,1,False,0.001351583981886506,False,A_uniform_hard_box,1,3,2,2026071303
8,55,0,1,False,0.0016631659818813205,False,A_uniform_hard_box,1,3,3,2026071304
8,55,1,1,False,0.0016357499989680946,False,A_uniform_hard_box,1,3,4,2026071305
8,55,0,1,False,0.0014736670418642461,False,A_uniform_hard_box,1,3,5,2026071306
8,55,0,1,False,0.0015530830132775009,False,A_uniform_hard_box,1,3,6,2026071307
8,55,0,1,False,0.0013981249649077654,False,A_uniform_hard_box,1,3,7,2026071308
8,55,0,1,False,0.0015014170203357935,False,A_uniform_hard_box,1,3,8,2026071309
8,55,0,1,False,0.0014230830129235983,False,A_uniform_hard_box,1,3,9,2026071310
8,55,1,1,True,0.0016392910038121045,True,A_uniform_hard_box,1,3,10,2026071311
8,55,0,1,False,0.0014774590381421149,False,A_uniform_hard_box,1,3,11,2026071312
8,55,1,1,False,0.0015456670080311596,False,A_uniform_hard_box,1,3,12,2026071313
8,55,1,1,True,0.001461624982766807,True,A_uniform_hard_box,1,3,13,2026071314
8,55,1,1,True,0.001558166986797005,True,A_uniform_hard_box,1,3,14,2026071315
8,55,0,1,False,0.0015464169555343688,False,A_uniform_hard_box,1,3,15,2026071316
8,55,0,1,False,0.0014362079673446715,False,A_uniform_hard_box,1,3,16,2026071317
8,55,0,1,False,0.0014808339765295386,False,A_uniform_hard_box,1,3,17,2026071318
8,55,0,1,False,0.0016308330232277513,False,A_uniform_hard_box,1,3,18,2026071319
8,55,0,1,False,0.0014851660234853625,False,A_uniform_hard_box,1,3,19,2026071320
8,55,1,1,True,0.0015894999960437417,True,A_uniform_hard_box,1,3,20,2026071321
8,55,0,1,False,0.0015187920071184635,False,A_uniform_hard_box,1,3,21,2026071322
8,55,0,1,False,0.0015869999770075083,False,A_uniform_hard_box,1,3,22,2026071323
8,55,0,1,False,0.0020412910380400717,False,A_uniform_hard_box,1,3,23,2026071324
8,55,0,1,False,0.0014709170209243894,False,A_uniform_hard_box,1,3,24,2026071325
8,55,1,1,True,0.0015388329629786313,True,A_uniform_hard_box,1,3,25,2026071326
8,55,0,1,False,0.001391042023897171,False,A_uniform_hard_box,1,3,26,2026071327
8,55,0,1,False,0.0014992919750511646,False,A_uniform_hard_box,1,3,27,2026071328
8,55,0,1,False,0.0013202920090407133,False,A_uniform_hard_box,1,3,28,2026071329
8,55,1,1,True,0.001511082984507084,True,A_uniform_hard_box,1,3,29,2026071330
8,55,0,1,False,0.0015357909724116325,False,A_uniform_hard_box,1,3,30,2026071331
8,55,0,1,False,0.001557165989652276,False,A_uniform_hard_box,1,3,31,2026071332
8,55,1,1,True,0.001530707988422364,True,A_uniform_hard_box,1,3,32,2026071333
8,55,0,1,False,0.0016445000073872507,False,A_uniform_hard_box,1,3,33,2026071334
8,55,1,1,False,0.0014343749498948455,False,A_uniform_hard_box,1,3,34,2026071335
8,55,0,1,False,0.0014012499595992267,False,A_uniform_hard_box,1,3,35,2026071336
8,55,0,1,False,0.0016286250320263207,False,A_uniform_hard_box,1,3,36,2026071337
8,55,0,1,False,0.001421332999598235,False,A_uniform_hard_box,1,3,37,2026071338
8,55,0,1,False,0.001589332998264581,False,A_uniform_hard_box,1,3,38,2026071339
8,55,1,1,True,0.0013764999457634985,True,A_uniform_hard_box,1,3,39,2026071340
8,55,0,1,False,0.0016104580136016011,False,A_uniform_hard_box,1,3,40,2026071341
8,55,0,1,False,0.0014747919631190598,False,A_uniform_hard_box,1,3,41,2026071342
8,55,0,1,False,0.0016011659754440188,False,A_uniform_hard_box,1,3,42,2026071343
