N,base,factor_ci95_high,factor_ci95_low,factor_probability,instance_id,mean_runtime_seconds,noise_axis,noise_setting,order_ci95_high,order_ci95_low,order_probability,realizations,shots
35,11,0.0741026511527422,0.0,0.0,35:11,3.544618721207371e-05,baseline,baseline,0.8507951119028996,0.6121535625207293,0.75,48,1
35,11,0.0741026511527422,0.0,0.0,35:11,3.131947960355319e-05,controlled_phase,cphase_gain_0p02,0.800544878322685,0.5466666274950367,0.6875,48,1
35,11,0.0741026511527422,0.0,0.0,35:11,3.236550128349336e-05,controlled_phase,cphase_gain_0p05,0.7115054026542299,0.44281082215364653,0.5833333333333334,48,1
35,11,0.0741026511527422,0.0,0.0,35:11,3.2776083268496827e-05,controlled_phase,cphase_gain_0p10,0.7656654288731427,0.5043879645406409,0.6458333333333334,48,1
35,11,0.0741026511527422,0.0,0.0,35:11,3.873177138302708e-05,controlled_phase,cphase_sigma_0p02,0.7297937350404942,0.4631015459693511,0.6041666666666666,48,1
35,11,0.0741026511527422,0.0,0.0,35:11,4.064147833560128e-05,controlled_phase,cphase_sigma_0p05,0.8343419643836709,0.5900276538379887,0.7291666666666666,48,1
35,11,0.0741026511527422,0.0,0.0,35:11,4.028643797937548e-05,controlled_phase,cphase_sigma_0p10,0.800544878322685,0.5466666274950367,0.6875,48,1
35,11,0.0741026511527422,0.0,0.0,35:11,2.86796885120566e-05,cx_depolarizing,cx_depol_0p001,0.783233986291032,0.5253984633247204,0.6666666666666666,48,1
35,11,0.0741026511527422,0.0,0.0,35:11,2.955122848410004e-05,cx_depolarizing,cx_depol_0p005,0.8507951119028996,0.6121535625207293,0.75,48,1
35,11,0.0741026511527422,0.0,0.0,35:11,3.165456231120819e-05,cx_depolarizing,cx_depol_0p010,0.8343419643836709,0.5900276538379887,0.7291666666666666,48,1
35,11,0.0741026511527422,0.0,0.0,35:11,3.136197877514254e-05,rz_rotation,rz_bias_0p02,0.8343419643836709,0.5900276538379887,0.7291666666666666,48,1
35,11,0.0741026511527422,0.0,0.0,35:11,2.9837709310716793e-05,rz_rotation,rz_bias_0p05,0.783233986291032,0.5253984633247204,0.6666666666666666,48,1
35,11,0.0741026511527422,0.0,0.0,35:11,3.2248207692949414e-05,rz_rotation,rz_bias_0p10,0.800544878322685,0.5466666274950367,0.6875,48,1
35,11,0.0741026511527422,0.0,0.0,35:11,4.4223041792671815e-05,rz_rotation,rz_sigma_0p02,0.8175858393813663,0.5682047226383246,0.7083333333333334,48,1
35,11,0.0741026511527422,0.0,0.0,35:11,5.1388021953850206e-05,rz_rotation,rz_sigma_0p05,0.800544878322685,0.5466666274950367,0.6875,48,1
35,11,0.0741026511527422,0.0,0.0,35:11,4.662149876821786e-05,rz_rotation,rz_sigma_0p10,0.6929894535958907,0.4227477150100165,0.5625,48,1
35,11,0.0741026511527422,0.0,0.0,35:11,3.40095017842638e-05,baseline,baseline,0.9414302824959915,0.7529927291394518,0.875,48,2
35,11,0.0741026511527422,0.0,0.0,35:11,3.352697937467989e-05,controlled_phase,cphase_gain_0p02,0.9785171568687727,0.8316430233725778,0.9375,48,2
35,11,0.0741026511527422,0.0,0.0,35:11,3.265541666526891e-05,controlled_phase,cphase_gain_0p05,0.9785171568687727,0.8316430233725778,0.9375,48,2
