N,base,compiled_cx,controlled_phase,cphase_gain,cphase_sigma,cutoff,cx_depolarizing_probability,depolarizing_mixing,distribution_certified,distribution_m_shot_bound,distribution_tv,exact_factor_acceptance_mass,exact_order_acceptance_mass,hellinger_affinity,hellinger_certified,hellinger_product_bound,instance_id,known_factors_used,known_order_used_by_decoder,loss_budget,noise_axis,noise_setting,noisy_factor_acceptance_mass,noisy_order_acceptance_mass,phase_modulus,phase_qubits,rz_bias,rz_sigma,shots,stochastic_setting,worst_case_certified,worst_case_m_shot_bound
35,2,150,66,0.0,0.02,11,0.0,1.0,True,0.004186374290087594,0.002093187145043797,0.8307307756478944,0.8307307756478944,0.9996731479635492,True,0.03614923639501502,35:2,False,False,0.05,controlled_phase,cphase_sigma_0p02,0.8302608127076622,0.8302608127076622,4096,12,0.0,0.0,2,True,True,0.0
35,2,150,66,0.0,0.02,11,0.0,1.0,True,0.016745497160350377,0.002093187145043797,0.8307307756478944,0.8307307756478944,0.9996731479635492,False,0.07222764184354369,35:2,False,False,0.05,controlled_phase,cphase_sigma_0p02,0.8302608127076622,0.8302608127076622,4096,12,0.0,0.0,8,True,True,0.0
35,2,150,66,0.0,0.02,11,0.0,1.0,True,0.033490994320700754,0.002093187145043797,0.8307307756478944,0.8307307756478944,0.9996731479635492,False,0.10201200494977326,35:2,False,False,0.05,controlled_phase,cphase_sigma_0p02,0.8302608127076622,0.8302608127076622,4096,12,0.0,0.0,16,True,True,0.0
35,2,150,66,0.0,0.05,11,0.0,1.0,True,0.010333750386999607,0.010333750386999607,0.8307307756478944,0.8307307756478944,0.9969876974230603,False,0.0775598555121426,35:2,False,False,0.05,controlled_phase,cphase_sigma_0p05,0.8275836047835072,0.8275836047835072,4096,12,0.0,0.0,1,True,True,0.0
35,2,150,66,0.0,0.05,11,0.0,1.0,True,0.020667500773999214,0.010333750386999607,0.8307307756478944,0.8307307756478944,0.9969876974230603,False,0.10952112014888413,35:2,False,False,0.05,controlled_phase,cphase_sigma_0p05,0.8275836047835072,0.8275836047835072,4096,12,0.0,0.0,2,True,True,0.0
35,2,150,66,0.0,0.05,11,0.0,1.0,False,0.08267000309599686,0.010333750386999607,0.8307307756478944,0.8307307756478944,0.9969876974230603,False,0.21707861068368278,35:2,False,False,0.05,controlled_phase,cphase_sigma_0p05,0.8275836047835072,0.8275836047835072,4096,12,0.0,0.0,8,True,True,0.0
35,2,150,66,0.0,0.05,11,0.0,1.0,False,0.1653400061919937,0.010333750386999607,0.8307307756478944,0.8307307756478944,0.9969876974230603,False,0.30335731026473034,35:2,False,False,0.05,controlled_phase,cphase_sigma_0p05,0.8275836047835072,0.8275836047835072,4096,12,0.0,0.0,16,True,True,0.0
35,2,150,66,0.0,0.1,11,0.0,1.0,True,0.03838417525957384,0.03838417525957384,0.8307307756478944,0.8307307756478944,0.9867461627319545,False,0.162271409477342,35:2,False,False,0.05,controlled_phase,cphase_sigma_0p10,0.8189573133625772,0.8189573133625772,4096,12,0.0,0.0,1,True,True,0.0
35,2,150,66,0.0,0.1,11,0.0,1.0,False,0.07676835051914768,0.03838417525957384,0.8307307756478944,0.8307307756478944,0.9867461627319545,False,0.2279707128104595,35:2,False,False,0.05,controlled_phase,cphase_sigma_0p10,0.8189573133625772,0.8189573133625772,4096,12,0.0,0.0,2,True,True,0.0
35,2,150,66,0.0,0.1,11,0.0,1.0,False,0.30707340207659073,0.03838417525957384,0.8307307756478944,0.8307307756478944,0.9867461627319545,False,0.43844164984809153,35:2,False,False,0.05,controlled_phase,cphase_sigma_0p10,0.8189573133625772,0.8189573133625772,4096,12,0.0,0.0,8,True,True,0.0
