N,analytic_m_shot_loss_bound,analytic_per_shot_tv_bound,cutoff,factor_blind_cutoff_certified,factor_blind_selected_cutoff,model,seed,split
2911,1.0,1.0,1,True,2,A_uniform_hard_box,2026071107,heldout
2911,0.0,0.0,2,True,2,A_uniform_hard_box,2026071107,heldout
2911,1.0,1.0,0,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
2911,1.0,1.0,1,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
2911,0.0,0.0,2,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
2993,1.0,1.0,0,True,2,A_uniform_hard_box,2026071107,heldout
2993,1.0,1.0,1,True,2,A_uniform_hard_box,2026071107,heldout
2993,0.0,0.0,2,True,2,A_uniform_hard_box,2026071107,heldout
2993,1.0,1.0,0,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
2993,1.0,1.0,1,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
2993,0.0,0.0,2,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3053,1.0,1.0,0,True,2,A_uniform_hard_box,2026071107,heldout
3053,1.0,1.0,1,True,2,A_uniform_hard_box,2026071107,heldout
3053,0.0,0.0,2,True,2,A_uniform_hard_box,2026071107,heldout
3053,1.0,1.0,0,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3053,1.0,1.0,1,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3053,0.0,0.0,2,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3127,1.0,1.0,0,True,2,A_uniform_hard_box,2026071107,heldout
3127,1.0,1.0,1,True,2,A_uniform_hard_box,2026071107,heldout
3127,0.0,0.0,2,True,2,A_uniform_hard_box,2026071107,heldout
3127,1.0,1.0,0,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3127,1.0,1.0,1,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3127,0.0,0.0,2,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3139,1.0,1.0,0,True,2,A_uniform_hard_box,2026071107,heldout
3139,1.0,1.0,1,True,2,A_uniform_hard_box,2026071107,heldout
3139,0.0,0.0,2,True,2,A_uniform_hard_box,2026071107,heldout
3139,1.0,1.0,0,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3139,1.0,1.0,1,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3139,0.0,0.0,2,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3149,1.0,1.0,0,True,2,A_uniform_hard_box,2026071107,heldout
3149,1.0,1.0,1,True,2,A_uniform_hard_box,2026071107,heldout
3149,0.0,0.0,2,True,2,A_uniform_hard_box,2026071107,heldout
3149,1.0,1.0,0,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3149,1.0,1.0,1,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3149,0.0,0.0,2,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3233,1.0,1.0,0,True,2,A_uniform_hard_box,2026071107,heldout
3233,1.0,1.0,1,True,2,A_uniform_hard_box,2026071107,heldout
3233,0.0,0.0,2,True,2,A_uniform_hard_box,2026071107,heldout
3233,1.0,1.0,0,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3233,1.0,1.0,1,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3233,0.0,0.0,2,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3337,1.0,1.0,0,True,2,A_uniform_hard_box,2026071107,heldout
3337,1.0,1.0,1,True,2,A_uniform_hard_box,2026071107,heldout
3337,0.0,0.0,2,True,2,A_uniform_hard_box,2026071107,heldout
3337,1.0,1.0,0,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3337,1.0,1.0,1,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3337,0.0,0.0,2,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3431,1.0,1.0,0,True,2,A_uniform_hard_box,2026071107,heldout
3431,1.0,1.0,1,True,2,A_uniform_hard_box,2026071107,heldout
3431,0.0,0.0,2,True,2,A_uniform_hard_box,2026071107,heldout
3431,1.0,1.0,0,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3431,1.0,1.0,1,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3431,0.0,0.0,2,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3551,1.0,1.0,0,True,2,A_uniform_hard_box,2026071107,heldout
3551,1.0,1.0,1,True,2,A_uniform_hard_box,2026071107,heldout
3551,0.0,0.0,2,True,2,A_uniform_hard_box,2026071107,heldout
3551,1.0,1.0,0,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3551,1.0,1.0,1,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3551,0.0,0.0,2,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3599,1.0,1.0,0,True,2,A_uniform_hard_box,2026071107,heldout
3599,1.0,1.0,1,True,2,A_uniform_hard_box,2026071107,heldout
3599,0.0,0.0,2,True,2,A_uniform_hard_box,2026071107,heldout
3599,1.0,1.0,0,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3599,1.0,1.0,1,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3599,0.0,0.0,2,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3763,1.0,1.0,0,True,2,A_uniform_hard_box,2026071107,heldout
3763,1.0,1.0,1,True,2,A_uniform_hard_box,2026071107,heldout
3763,0.0,0.0,2,True,2,A_uniform_hard_box,2026071107,heldout
3763,1.0,1.0,0,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3763,1.0,1.0,1,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3763,0.0,0.0,2,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3977,1.0,1.0,0,True,2,A_uniform_hard_box,2026071107,heldout
3977,1.0,1.0,1,True,2,A_uniform_hard_box,2026071107,heldout
3977,0.0,0.0,2,True,2,A_uniform_hard_box,2026071107,heldout
3977,1.0,1.0,0,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3977,1.0,1.0,1,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3977,0.0,0.0,2,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3953,1.0,1.0,0,True,2,A_uniform_hard_box,2026071107,heldout
3953,1.0,1.0,1,True,2,A_uniform_hard_box,2026071107,heldout
3953,0.0,0.0,2,True,2,A_uniform_hard_box,2026071107,heldout
3953,1.0,1.0,0,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3953,1.0,1.0,1,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
3953,0.0,0.0,2,True,2,B_exact_finite_discrete_gaussian,2026071107,heldout
