M,N,compiled_depth,compiled_ops,cutoff,d,hardware_noise_model,logical_depth,logical_ops,model,qubits,seed
4,15,4622,"{""barrier"": 3, ""ccx"": 3002, ""cswap"": 16, ""cx"": 1472, ""h"": 8, ""measure"": 4, ""swap"": 2, ""u3"": 14, ""x"": 1495}",0,2,False,6,"{""Exp(1)_Mod_15"": 1, ""Exp(4)_Mod_15"": 1, ""barrier"": 3, ""h"": 8, ""measure"": 4, ""swap"": 2, ""x"": 1}",D_qiskit_small_instance,13,2026071107
4,15,4624,"{""barrier"": 3, ""ccx"": 3002, ""cp"": 2, ""cswap"": 16, ""cx"": 1472, ""h"": 8, ""measure"": 4, ""swap"": 2, ""u3"": 14, ""x"": 1495}",1,2,False,8,"{""Exp(1)_Mod_15"": 1, ""Exp(4)_Mod_15"": 1, ""barrier"": 3, ""cp"": 2, ""h"": 8, ""measure"": 4, ""swap"": 2, ""x"": 1}",D_qiskit_small_instance,13,2026071107
