M,N,ci95_high,ci95_low,cutoff,d,factor_probability,factor_successes,lminus_candidates,m,mean_lll_seconds,model,replicates
8,143,0.9650232506629428,0.6397666856325173,1,2,0.875,14,14,7,0.0015670495631638914,B_exact_finite_discrete_gaussian,16
8,143,0.9340852122641324,0.5699064013154177,2,2,0.8125,13,13,7,0.0015821848719497211,B_exact_finite_discrete_gaussian,16
16,143,0.613593529020652,0.18480982554752806,0,2,0.375,6,6,7,0.001591682252183091,A_uniform_hard_box,16
16,143,0.7690163666481448,0.33178195606776517,1,2,0.5625,9,9,7,0.0016366536219720729,A_uniform_hard_box,16
16,143,0.9888809426916687,0.7167073163197013,2,2,0.9375,15,15,7,0.0016810467568575405,A_uniform_hard_box,16
16,143,1.0,0.8063865817272802,3,2,1.0,16,16,7,0.0016497448123118374,A_uniform_hard_box,16
16,143,0.49498768929398645,0.10181901984237346,0,2,0.25,4,4,7,0.0016295206805807538,B_exact_finite_discrete_gaussian,16
16,143,0.8583556494803894,0.4440393186673406,1,2,0.6875,11,11,7,0.0016179868725885171,B_exact_finite_discrete_gaussian,16
16,143,0.9888809426916687,0.7167073163197013,2,2,0.9375,15,15,7,0.001666528627538355,B_exact_finite_discrete_gaussian,16
16,143,0.9888809426916687,0.7167073163197013,3,2,0.9375,15,15,7,0.0016528125561308116,B_exact_finite_discrete_gaussian,16
32,143,0.2832926836802987,0.01111905730833121,0,2,0.0625,1,1,7,0.0016707316171959974,A_uniform_hard_box,16
32,143,0.6682180439322347,0.2309836333518552,1,2,0.4375,7,7,7,0.0017671301357040647,A_uniform_hard_box,16
32,143,0.9650232506629428,0.6397666856325173,2,2,0.875,14,14,7,0.001746114550769562,A_uniform_hard_box,16
32,143,0.9888809426916687,0.7167073163197013,3,2,0.9375,15,15,7,0.001841189878177829,A_uniform_hard_box,16
32,143,0.9888809426916687,0.7167073163197013,4,2,0.9375,15,15,7,0.0017884373773995321,A_uniform_hard_box,16
32,143,0.4300935986845823,0.06591478773586765,0,2,0.1875,3,3,7,0.0016708932525943965,B_exact_finite_discrete_gaussian,16
32,143,0.613593529020652,0.18480982554752806,1,2,0.375,6,6,7,0.0017026330751832575,B_exact_finite_discrete_gaussian,16
32,143,0.9650232506629428,0.6397666856325173,2,2,0.875,14,14,7,0.0016784451800049283,B_exact_finite_discrete_gaussian,16
32,143,0.8981809801576265,0.5050123107060135,3,2,0.75,12,12,7,0.0017436276175430976,B_exact_finite_discrete_gaussian,16
32,143,0.9650232506629428,0.6397666856325173,4,2,0.875,14,14,7,0.0017744686956575606,B_exact_finite_discrete_gaussian,16
