accuracy,brier,false_approvals,false_rejections,method,precision,recall,rows,true_negatives
0.9027777777777778,0.0823410586091343,10,18,factor_blind_logistic,0.9604743083003953,0.9310344827586207,288,17
0.3020833333333333,0.6979166666666666,0,201,worst_case_certificate,1.0,0.22988505747126436,288,27
0.8958333333333334,0.10416666666666667,6,24,measured_tv_alone,0.9753086419753086,0.9080459770114943,288,21
0.90625,0.09375,27,0,omitted_layers_alone,0.90625,1.0,288,0
0.8854166666666666,0.11458333333333333,27,6,decoder_boundary_proxy_alone,0.9042553191489362,0.9770114942528736,288,0
