algorithm,instance_id,method,omitted_layers,predicted_noninferior,probability,shots,task_difference,truth_noninferior
Shor,51:2,worst_case_certificate,3.0,False,0.0,8.0,0.0,True
Shor,51:2,worst_case_certificate,2.0,False,0.0,8.0,0.0,True
Shor,51:2,worst_case_certificate,3.0,False,0.0,8.0,0.0,True
Shor,51:2,worst_case_certificate,2.0,False,0.0,16.0,0.0,True
Shor,51:2,worst_case_certificate,3.0,False,0.0,16.0,0.0,True
Shor,51:2,worst_case_certificate,2.0,False,0.0,16.0,0.0,True
Shor,51:2,worst_case_certificate,3.0,False,0.0,16.0,0.0,True
Shor,55:2,worst_case_certificate,2.0,False,0.0,4.0,0.0,True
Shor,55:2,worst_case_certificate,3.0,False,0.0,4.0,0.0,True
Shor,55:2,worst_case_certificate,2.0,False,0.0,4.0,0.0,True
Shor,55:2,worst_case_certificate,3.0,False,0.0,4.0,0.0,True
Shor,55:2,worst_case_certificate,2.0,False,0.0,8.0,0.0,True
Shor,55:2,worst_case_certificate,3.0,False,0.0,8.0,0.0,True
Shor,55:2,worst_case_certificate,2.0,False,0.0,8.0,0.0,True
Shor,55:2,worst_case_certificate,3.0,False,0.0,8.0,0.0,True
Shor,55:2,worst_case_certificate,2.0,False,0.0,16.0,0.0,True
Shor,55:2,worst_case_certificate,3.0,False,0.0,16.0,0.0,True
Shor,55:2,worst_case_certificate,2.0,False,0.0,16.0,0.0,True
Shor,55:2,worst_case_certificate,3.0,False,0.0,16.0,0.0,True
Shor,65:3,worst_case_certificate,3.0,False,0.0,4.0,0.0,True
Shor,65:3,worst_case_certificate,3.0,False,0.0,4.0,0.0,True
Shor,65:3,worst_case_certificate,3.0,False,0.0,8.0,0.0,True
Shor,65:3,worst_case_certificate,3.0,False,0.0,8.0,0.0,True
Shor,65:3,worst_case_certificate,2.0,False,0.0,16.0,0.0,True
Shor,65:3,worst_case_certificate,3.0,False,0.0,16.0,0.0,True
Shor,65:3,worst_case_certificate,2.0,False,0.0,16.0,0.0,True
Shor,65:3,worst_case_certificate,3.0,False,0.0,16.0,0.0,True
Shor,77:8,worst_case_certificate,3.0,False,0.0,4.0,0.0,True
Shor,77:8,worst_case_certificate,3.0,False,0.0,4.0,0.0,True
Shor,77:8,worst_case_certificate,3.0,False,0.0,8.0,0.0,True
Shor,77:8,worst_case_certificate,3.0,False,0.0,8.0,0.0,True
Shor,77:8,worst_case_certificate,2.0,False,0.0,16.0,0.0,True
Shor,77:8,worst_case_certificate,3.0,False,0.0,16.0,0.0,True
Shor,77:8,worst_case_certificate,2.0,False,0.0,16.0,0.0,True
Shor,77:8,worst_case_certificate,3.0,False,0.0,16.0,0.0,True
Shor,91:9,worst_case_certificate,3.0,False,0.0,4.0,0.0,True
Shor,91:9,worst_case_certificate,3.0,False,0.0,4.0,0.0,True
Shor,91:9,worst_case_certificate,3.0,False,0.0,8.0,0.0,True
Shor,91:9,worst_case_certificate,3.0,False,0.0,8.0,0.0,True
Shor,91:9,worst_case_certificate,2.0,False,0.0,16.0,0.0,True
Shor,91:9,worst_case_certificate,3.0,False,0.0,16.0,0.0,True
Shor,91:9,worst_case_certificate,2.0,False,0.0,16.0,0.0,True
Shor,91:9,worst_case_certificate,3.0,False,0.0,16.0,0.0,True
Regev,55:A_uniform_hard_box:M8,worst_case_certificate,1.0,False,0.0,7.0,-0.0625,True
Regev,55:B_exact_finite_discrete_gaussian:M8,worst_case_certificate,1.0,False,0.0,7.0,-0.03125,True
Regev,55:A_uniform_hard_box:M16,worst_case_certificate,1.0,False,0.0,7.0,-0.03125,True
Regev,55:B_exact_finite_discrete_gaussian:M16,worst_case_certificate,3.0,False,0.0,7.0,-0.0625,True
Regev,55:B_exact_finite_discrete_gaussian:M16,worst_case_certificate,2.0,False,0.0,7.0,-0.0625,True
Regev,55:B_exact_finite_discrete_gaussian:M16,worst_case_certificate,1.0,False,0.0,7.0,-0.015625,True
Regev,55:A_uniform_hard_box:M32,worst_case_certificate,1.0,False,0.0,7.0,-0.046875,True
Regev,55:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,2.0,False,0.0,7.0,-0.046875,True
Regev,55:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,1.0,False,0.0,7.0,0.015625,True
Regev,65:A_uniform_hard_box:M8,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,65:B_exact_finite_discrete_gaussian:M8,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,65:A_uniform_hard_box:M16,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,65:B_exact_finite_discrete_gaussian:M16,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,65:A_uniform_hard_box:M32,worst_case_certificate,2.0,False,0.0,7.0,-0.046875,True
Regev,65:A_uniform_hard_box:M32,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,65:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,2.0,False,0.0,7.0,-0.0625,True
Regev,65:B_exact_finite_discrete_gaussian:M32,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,85:A_uniform_hard_box:M8,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,85:A_uniform_hard_box:M8,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,85:B_exact_finite_discrete_gaussian:M8,worst_case_certificate,2.0,False,0.0,7.0,0.0,True
Regev,85:B_exact_finite_discrete_gaussian:M8,worst_case_certificate,1.0,False,0.0,7.0,0.0,True
Regev,85:A_uniform_hard_box:M16,worst_case_certificate,3.0,False,0.0,7.0,0.0,True
