N,amplitude_squared_norm,bases,chi_square_from_parseval_kernel,chi_square_from_probabilities,gaussian_radius_R,joint_entropy_bits,method,model,modulus_D,parseval_absolute_error,probability_sha256,reconstruction_scale,roots,support_size,total_correlation_bits
2173,262144.0,"[4, 9, 529]",148.57999731460586,148.57999731460586,,12.459209916725541,complete_selector,A_uniform_hard_box,64,0.0,5b658c577926589ad731324a25499e06eec6c756e5c10bd3e74703f57607a58a,13,"[2, 3, 23]",262144,3.8423671062479166
2173,1448.1546878630381,"[4, 9, 529]",6.879755625973671,6.879755625973674,16.0,15.672090902883085,complete_selector,B_exact_gaussian_state,64,2.6645352591003757e-15,426a2e5b1a8874021f3d8f7f963fc5a46a9b5cd08bfd4560a9b8d8097b9c65a8,13,"[2, 3, 23]",262144,1.8525430730497376
2173,262144.0,"[289, 1369, 169]",297.8935534302145,297.89355343021464,,11.547078852621546,random_coprime_roots,A_uniform_hard_box,64,1.1368683772161603e-13,0a45f2abedbda31ba3d2d8c1b7224966759fdf9516f214641d0e267717c665fe,13,"[17, 37, 13]",262144,6.452921147378454
2173,1448.1546878630381,"[289, 1369, 169]",17.890530748932452,17.890530749211486,16.0,14.222463411054836,random_coprime_roots,B_exact_gaussian_state,64,2.7903368504667014e-10,9fa2491fd9e06cbf8268fd68a103e62d829684e762d8bf2181fdc6c66a795a90,13,"[17, 37, 13]",139120,3.777536588945164
2173,262144.0,"[4, 9, 25]",148.71532421605662,148.71532421605662,,12.479573098291024,regev_small_prime_roots,A_uniform_hard_box,64,0.0,8f59d1cf85a186297080bf4a2c2c5de5bad6a41842fe2d10d5e00a2f649b6fc9,13,"[2, 3, 5]",262144,5.468770811484443
2173,1448.1546878630381,"[4, 9, 25]",6.889061836176458,6.8890618361764595,16.0,15.646974741632375,regev_small_prime_roots,B_exact_gaussian_state,64,1.7763568394002505e-15,844ef656b0aef992cb1115389e971d62506dd98a039e27333d4b90f5ca76460a,13,"[2, 3, 5]",262144,2.3530252583676177
2279,262144.0,"[4, 9, 25]",141.39874621247873,141.39874621247873,,12.56104948914938,residue_deduplication_only,A_uniform_hard_box,64,0.0,336e40e689bfe30d7e6691686e6a840494b3e569416ef4f538eed77f71f22126,13,"[2, 3, 5]",262144,5.438950510850621
2279,1448.1546878630381,"[4, 9, 25]",6.575872080915006,6.575872080930738,16.0,15.653237515353151,residue_deduplication_only,B_exact_gaussian_state,64,1.5732304348148318e-11,d9639eaf48a00ce70bc4d0c6e07a7eff5cacf661d8a2e58662300edbcddcbf8a,13,"[2, 3, 5]",253862,2.346762484646849
2279,262144.0,"[4, 9, 25]",141.39874621247873,141.39874621247873,,12.56104948914938,short_relation_rejection_only,A_uniform_hard_box,64,0.0,336e40e689bfe30d7e6691686e6a840494b3e569416ef4f538eed77f71f22126,13,"[2, 3, 5]",262144,5.438950510850621
2279,1448.1546878630381,"[4, 9, 25]",6.575872080915006,6.575872080930738,16.0,15.653237515353151,short_relation_rejection_only,B_exact_gaussian_state,64,1.5732304348148318e-11,d9639eaf48a00ce70bc4d0c6e07a7eff5cacf661d8a2e58662300edbcddcbf8a,13,"[2, 3, 5]",253862,2.346762484646849
2279,262144.0,"[4, 49, 529]",141.34596053679707,141.34596053679707,,12.575129839790726,subgroup_overlap_only,A_uniform_hard_box,64,0.0,768dbec1347a160e1bed38455347c825a321a91a5600951449592a4b649d029b,13,"[2, 7, 23]",262144,5.000367184448248
2279,1448.1546878630381,"[4, 49, 529]",6.50700642290297,6.507006422902972,16.0,15.73138230275454,subgroup_overlap_only,B_exact_gaussian_state,64,1.7763568394002505e-15,394e9f852ae6f6432a597953743cd2089ca46cc6018f79a820a11b929686567d,13,"[2, 7, 23]",262144,2.268617685526774
2279,262144.0,"[4, 49, 529]",141.34596053679707,141.34596053679707,,12.575129839790726,complete_selector,A_uniform_hard_box,64,0.0,768dbec1347a160e1bed38455347c825a321a91a5600951449592a4b649d029b,13,"[2, 7, 23]",262144,5.000367184448248
2279,1448.1546878630381,"[4, 49, 529]",6.50700642290297,6.507006422902972,16.0,15.73138230275454,complete_selector,B_exact_gaussian_state,64,1.7763568394002505e-15,394e9f852ae6f6432a597953743cd2089ca46cc6018f79a820a11b929686567d,13,"[2, 7, 23]",262144,2.268617685526774
