L_minus_L0_candidate_success_rate,N,all_basis_diagnostic_factor_success_rate,claim_prefix_candidate_count_mean,claim_prefix_length_mean,claim_prefix_rejected_nonrelation_rows_mean,factor_success_rate,method,model,trials,valid_L_relation_success_rate
0.96875,2279,0.96875,0.96875,10.0,8.96875,0.96875,residue_deduplication_only,B_exact_gaussian_state,32,0.96875
1.0,2279,1.0,3.0,3.0,0.0,1.0,residue_deduplication_only,C_theoretical_noisy_dual,32,1.0
0.96875,2279,0.96875,0.96875,10.0,9.03125,0.96875,short_relation_rejection_only,A_uniform_hard_box,32,0.96875
1.0,2279,1.0,1.0,10.0,9.0,1.0,short_relation_rejection_only,B_exact_gaussian_state,32,1.0
1.0,2279,1.0,3.0,3.0,0.0,1.0,short_relation_rejection_only,C_theoretical_noisy_dual,32,1.0
0.40625,2279,0.40625,0.40625,10.0,9.5625,0.40625,subgroup_overlap_only,A_uniform_hard_box,32,0.40625
0.28125,2279,0.28125,0.28125,10.0,9.71875,0.28125,subgroup_overlap_only,B_exact_gaussian_state,32,0.28125
1.0,2279,1.0,3.0,3.0,0.0,1.0,subgroup_overlap_only,C_theoretical_noisy_dual,32,1.0
0.0,2419,0.0,0.28125,10.0,9.71875,0.0,complete_selector,A_uniform_hard_box,32,0.28125
0.0,2419,0.0,0.3125,10.0,9.6875,0.0,complete_selector,B_exact_gaussian_state,32,0.3125
1.0,2419,1.0,3.0,3.0,0.0,1.0,complete_selector,C_theoretical_noisy_dual,32,1.0
0.6875,2419,0.6875,0.6875,10.0,9.28125,0.6875,random_coprime_roots,A_uniform_hard_box,32,0.6875
0.5625,2419,0.5625,0.5625,10.0,9.4375,0.5625,random_coprime_roots,B_exact_gaussian_state,32,0.5625
0.96875,2419,0.96875,2.9375,3.0,0.0625,0.96875,random_coprime_roots,C_theoretical_noisy_dual,32,1.0
0.90625,2419,0.90625,1.0,10.0,9.0,0.90625,regev_small_prime_roots,A_uniform_hard_box,32,0.9375
1.0,2419,1.0,1.0,10.0,9.0,1.0,regev_small_prime_roots,B_exact_gaussian_state,32,1.0
1.0,2419,1.0,3.0,3.0,0.0,1.0,regev_small_prime_roots,C_theoretical_noisy_dual,32,1.0
0.90625,2419,0.90625,1.03125,10.0,8.96875,0.90625,residue_deduplication_only,A_uniform_hard_box,32,0.9375
1.0,2419,1.0,1.0,10.0,8.96875,1.0,residue_deduplication_only,B_exact_gaussian_state,32,1.0
1.0,2419,1.0,2.96875,3.0,0.03125,1.0,residue_deduplication_only,C_theoretical_noisy_dual,32,1.0
0.0,2419,0.0,1.1875,10.0,8.8125,0.0,short_relation_rejection_only,A_uniform_hard_box,32,0.90625
0.0,2419,0.0,1.25,10.0,8.71875,0.0,short_relation_rejection_only,B_exact_gaussian_state,32,1.0
1.0,2419,1.0,3.0,3.0,0.0,1.0,short_relation_rejection_only,C_theoretical_noisy_dual,32,1.0
0.0,2419,0.0,0.90625,10.0,9.0625,0.0,subgroup_overlap_only,A_uniform_hard_box,32,0.90625
0.0,2419,0.0,0.96875,10.0,9.03125,0.0,subgroup_overlap_only,B_exact_gaussian_state,32,0.96875
0.9375,2419,0.9375,2.875,3.0,0.125,0.9375,subgroup_overlap_only,C_theoretical_noisy_dual,32,1.0
0.28125,2491,0.28125,0.28125,10.0,9.6875,0.28125,complete_selector,A_uniform_hard_box,32,0.28125
0.1875,2491,0.1875,0.1875,10.0,9.78125,0.1875,complete_selector,B_exact_gaussian_state,32,0.1875
1.0,2491,1.0,3.0,3.0,0.0,1.0,complete_selector,C_theoretical_noisy_dual,32,1.0
0.0,2491,0.0,0.125,10.0,9.875,0.0,random_coprime_roots,A_uniform_hard_box,32,0.125
0.0,2491,0.0,0.03125,10.0,9.9375,0.0,random_coprime_roots,B_exact_gaussian_state,32,0.03125
1.0,2491,1.0,3.0,3.0,0.0,1.0,random_coprime_roots,C_theoretical_noisy_dual,32,1.0
0.96875,2491,0.96875,1.03125,10.0,8.96875,0.96875,regev_small_prime_roots,A_uniform_hard_box,32,1.0
1.0,2491,1.0,1.0,10.0,9.0,1.0,regev_small_prime_roots,B_exact_gaussian_state,32,1.0
1.0,2491,1.0,3.0,3.0,0.0,1.0,regev_small_prime_roots,C_theoretical_noisy_dual,32,1.0
1.0,2491,1.0,1.09375,10.0,8.875,1.0,residue_deduplication_only,A_uniform_hard_box,32,1.0
1.0,2491,1.0,1.0,10.0,9.0,1.0,residue_deduplication_only,B_exact_gaussian_state,32,1.0
1.0,2491,1.0,3.0,3.0,0.0,1.0,residue_deduplication_only,C_theoretical_noisy_dual,32,1.0
0.3125,2491,0.3125,0.3125,10.0,9.6875,0.3125,short_relation_rejection_only,A_uniform_hard_box,32,0.3125
0.1875,2491,0.1875,0.1875,10.0,9.8125,0.1875,short_relation_rejection_only,B_exact_gaussian_state,32,0.1875
0.96875,2491,0.96875,2.90625,3.0,0.09375,0.96875,short_relation_rejection_only,C_theoretical_noisy_dual,32,0.96875
1.0,2491,1.0,1.09375,10.0,8.84375,1.0,subgroup_overlap_only,A_uniform_hard_box,32,1.0
1.0,2491,1.0,1.0,10.0,9.0,1.0,subgroup_overlap_only,B_exact_gaussian_state,32,1.0
1.0,2491,1.0,3.0,3.0,0.0,1.0,subgroup_overlap_only,C_theoretical_noisy_dual,32,1.0
0.0,2501,0.0,0.0,10.0,9.96875,0.0,complete_selector,A_uniform_hard_box,32,0.0
0.0,2501,0.0,0.0,10.0,9.96875,0.0,complete_selector,B_exact_gaussian_state,32,0.0
1.0,2501,1.0,3.0,3.0,0.0,1.0,complete_selector,C_theoretical_noisy_dual,32,1.0
0.09375,2501,0.09375,0.09375,10.0,9.90625,0.09375,random_coprime_roots,A_uniform_hard_box,32,0.09375
0.0625,2501,0.0625,0.0625,10.0,9.90625,0.0625,random_coprime_roots,B_exact_gaussian_state,32,0.0625
1.0,2501,1.0,3.0,3.0,0.0,1.0,random_coprime_roots,C_theoretical_noisy_dual,32,1.0
0.0,2501,0.0,0.8125,10.0,9.1875,0.0,regev_small_prime_roots,A_uniform_hard_box,32,0.8125
0.0,2501,0.0,0.96875,10.0,9.0,0.0,regev_small_prime_roots,B_exact_gaussian_state,32,0.96875
1.0,2501,1.0,3.0,3.0,0.0,1.0,regev_small_prime_roots,C_theoretical_noisy_dual,32,1.0
0.0,2501,0.0,0.84375,10.0,9.15625,0.0,residue_deduplication_only,A_uniform_hard_box,32,0.84375
0.0,2501,0.0,0.9375,10.0,9.03125,0.0,residue_deduplication_only,B_exact_gaussian_state,32,0.9375
1.0,2501,1.0,2.96875,3.0,0.03125,1.0,residue_deduplication_only,C_theoretical_noisy_dual,32,1.0
0.0,2501,0.0,0.875,10.0,9.0625,0.0,short_relation_rejection_only,A_uniform_hard_box,32,0.875
0.0,2501,0.0,0.9375,10.0,9.0625,0.0,short_relation_rejection_only,B_exact_gaussian_state,32,0.9375
0.96875,2501,0.96875,2.9375,3.0,0.0625,0.96875,short_relation_rejection_only,C_theoretical_noisy_dual,32,1.0
0.0,2501,0.0,0.125,10.0,9.875,0.0,subgroup_overlap_only,A_uniform_hard_box,32,0.125
0.0,2501,0.0,0.0,10.0,10.0,0.0,subgroup_overlap_only,B_exact_gaussian_state,32,0.0
1.0,2501,1.0,3.0,3.0,0.0,1.0,subgroup_overlap_only,C_theoretical_noisy_dual,32,1.0
0.0,2537,0.0,0.34375,10.0,9.65625,0.0,complete_selector,A_uniform_hard_box,32,0.34375
0.0,2537,0.0,0.3125,10.0,9.6875,0.0,complete_selector,B_exact_gaussian_state,32,0.3125
1.0,2537,1.0,3.0,3.0,0.0,1.0,complete_selector,C_theoretical_noisy_dual,32,1.0
0.0,2537,0.0,0.71875,10.0,9.28125,0.0,random_coprime_roots,A_uniform_hard_box,32,0.71875
0.0,2537,0.0,0.59375,10.0,9.375,0.0,random_coprime_roots,B_exact_gaussian_state,32,0.59375
1.0,2537,1.0,3.0,3.0,0.0,1.0,random_coprime_roots,C_theoretical_noisy_dual,32,1.0
0.0,2537,0.0,0.0,10.0,9.96875,0.0,regev_small_prime_roots,A_uniform_hard_box,32,0.0
0.0,2537,0.0,0.0,10.0,10.0,0.0,regev_small_prime_roots,B_exact_gaussian_state,32,0.0
1.0,2537,1.0,3.0,3.0,0.0,1.0,regev_small_prime_roots,C_theoretical_noisy_dual,32,1.0
0.0,2537,0.0,0.0,10.0,9.96875,0.0,residue_deduplication_only,A_uniform_hard_box,32,0.0
0.0,2537,0.0,0.0,10.0,10.0,0.0,residue_deduplication_only,B_exact_gaussian_state,32,0.0
1.0,2537,1.0,3.0,3.0,0.0,1.0,residue_deduplication_only,C_theoretical_noisy_dual,32,1.0
0.0,2537,0.0,0.0,10.0,9.96875,0.0,short_relation_rejection_only,A_uniform_hard_box,32,0.0
0.0,2537,0.0,0.0,10.0,10.0,0.0,short_relation_rejection_only,B_exact_gaussian_state,32,0.0
1.0,2537,1.0,3.0,3.0,0.0,1.0,short_relation_rejection_only,C_theoretical_noisy_dual,32,1.0
0.71875,2537,0.71875,0.71875,10.0,9.25,0.71875,subgroup_overlap_only,A_uniform_hard_box,32,0.71875
0.75,2537,0.75,0.75,10.0,9.25,0.75,subgroup_overlap_only,B_exact_gaussian_state,32,0.75
1.0,2537,1.0,3.0,3.0,0.0,1.0,subgroup_overlap_only,C_theoretical_noisy_dual,32,1.0
0.0,2623,0.0,0.0,10.0,10.0,0.0,complete_selector,A_uniform_hard_box,32,0.0
0.0,2623,0.0,0.03125,10.0,9.96875,0.0,complete_selector,B_exact_gaussian_state,32,0.03125
0.96875,2623,0.96875,2.9375,3.0,0.0625,0.96875,complete_selector,C_theoretical_noisy_dual,32,1.0
