M,N,bases,bounded_product_diversity,bounded_relation_count,bounded_relation_rank,chi_square_from_uniform,covariance_effective_rank,covariance_rank,d,distinct_order_count,entropy_deficit_bits,instance_class,joint_entropy_bits,max_entropy_bits,mean_pairwise_mutual_information_bits,method,parseval_absolute_error,posthoc_bounded_root_audit_factors,primary,relation_signal_energy,resource_M,resource_controlled_modular_multiplication_blocks,resource_d,resource_modular_exponentiation_blocks,resource_n,resource_nd,resource_qft_blocks,resource_total_qubits,resource_work_qubits,resource_x_qubits,roots,setup_factor_leak,setup_factor_leaks,shortest_relation_norm,subgroup_size,support_size,total_correlation_bits,unique_residues
32,299,"[4, 9, 25]",0.36,2,2,146.34967208839953,2.9920052708090017,3,3,3,5.497191957553227,semiprime,9.502808042446773,15.0,1.8646698985814094,squared_primes_deduplicated,0.0,[13],True,146.34967208839953,32,15,3,3,9,5,3,34,19,15,"[2, 3, 5]",False,[],2.449489742783178,66,32768,5.348316857656922,3
32,299,"[5, 11, 2]",1.0,0,0,35.94739952683449,2.9985907463989094,3,3,2,3.6732887527249662,semiprime,11.326711247275034,15.0,0.9129012155453538,random_coprime_residues,0.0,[],True,35.94739952683449,32,15,3,3,9,5,3,34,19,15,null,False,[],,264,32768,3.6732887527249645,3
32,299,"[49, 25, 121]",0.528,1,1,146.33246307820082,2.9953370449034145,3,3,2,5.488991265936402,semiprime,9.511008734063598,15.0,1.8576027636007009,random_coprime_squares,0.0,[],True,146.33246307820082,32,15,3,3,9,5,3,34,19,15,"[7, 5, 11]",False,[],2.449489742783178,66,32768,5.340116166040097,3
32,299,"[7, 11, 3]",0.816,0,0,72.72173638641834,2.990885073830588,3,3,2,4.575965673808941,semiprime,10.424034326191059,15.0,1.3929560040460462,dependency_aware,0.0,[],True,72.72173638641834,32,15,3,3,9,5,3,34,19,15,null,False,[],,132,32768,4.575965673808941,3
32,323,"[4, 9, 25]",0.52,1,1,134.26211123168468,2.8931867906581967,3,3,2,5.422548379063436,semiprime,9.577451620936564,15.0,2.0536287755872387,notebook_squared_primes,0.0,[17],True,134.26211123168468,32,15,3,3,9,5,3,34,19,15,"[2, 3, 5]",False,[],2.23606797749979,72,32768,5.422548379063436,3
32,323,"[4, 9, 25]",0.52,1,1,134.26211123168468,2.8931867906581967,3,3,2,5.422548379063436,semiprime,9.577451620936564,15.0,2.0536287755872387,squared_primes_deduplicated,0.0,[17],True,134.26211123168468,32,15,3,3,9,5,3,34,19,15,"[2, 3, 5]",False,[],2.23606797749979,72,32768,5.422548379063436,3
32,323,"[11, 7, 5]",0.904,0,0,75.29015828669071,2.9733470462663014,3,3,2,4.537947855569389,semiprime,10.462052144430611,15.0,1.619019467282282,random_coprime_residues,0.0,[],True,75.29015828669071,32,15,3,3,9,5,3,34,19,15,null,False,[],,144,32768,4.537947855569392,3
32,323,"[25, 121, 4]",0.496,0,0,138.2955084424466,2.9306745064720205,3,3,3,5.407964137938997,semiprime,9.592035862061003,15.0,1.9222632654965697,random_coprime_squares,0.0,[],True,138.2955084424466,32,15,3,3,9,5,3,34,19,15,"[5, 11, 2]",False,[],,72,32768,5.313603200168561,3
32,323,"[5, 11, 3]",1.0,0,0,33.9218395575881,2.9971065094159335,3,3,2,3.580247980043886,semiprime,11.419752019956114,15.0,0.803252896947031,dependency_aware,0.0,[],True,33.9218395575881,32,15,3,3,9,5,3,34,19,15,null,False,[],,288,32768,3.5802479800438842,3
32,361,"[4, 9, 25]",0.76,0,0,55.89133132249117,2.9989982805245887,3,3,1,4.211008381367002,prime_power,10.788991618632998,15.0,1.0022754763691715,notebook_squared_primes,0.0,[],True,55.89133132249117,32,15,3,3,9,5,3,34,19,15,"[2, 3, 5]",False,[],,171,32768,4.211008381367002,3
32,361,"[4, 9, 25]",0.76,0,0,55.89133132249117,2.9989982805245887,3,3,1,4.211008381367002,prime_power,10.788991618632998,15.0,1.0022754763691715,squared_primes_deduplicated,0.0,[],True,55.89133132249117,32,15,3,3,9,5,3,34,19,15,"[2, 3, 5]",False,[],,171,32768,4.211008381367002,3
32,361,"[2, 7, 5]",0.808,0,0,27.542583256959915,2.99914641197036,3,3,3,3.351814586461419,prime_power,11.648185413538581,15.0,0.6500673139077561,random_coprime_residues,0.0,[],True,27.542583256959915,32,15,3,3,9,5,3,34,19,15,null,False,[],,342,32768,3.351814586461419,3
32,361,"[4, 49, 9]",0.712,0,0,56.09564749151468,2.9911923875317474,3,3,2,4.28454578549845,prime_power,10.71545421450155,15.0,1.1298424003753418,random_coprime_squares,0.0,[],True,56.09564749151468,32,15,3,3,9,5,3,34,19,15,"[2, 7, 3]",False,[],,171,32768,4.28454578549845,3
32,361,"[5, 7, 3]",1.0,0,0,27.82629192620516,2.992768101811179,3,3,3,3.425364066591694,prime_power,11.574635933408306,15.0,0.9467023157717419,dependency_aware,0.0,[],True,27.82629192620516,32,15,3,3,9,5,3,34,19,15,null,False,[],,342,32768,3.425364066591694,3
32,391,"[4, 9, 25]",0.496,1,1,109.57805994898081,2.9723472088190155,3,3,2,5.124266154199134,semiprime,9.875733845800866,15.0,1.72787839134239,notebook_squared_primes,0.0,[17],True,109.57805994898081,32,15,3,3,9,5,3,34,19,15,"[2, 3, 5]",False,[],2.449489742783178,88,32768,5.124266154199134,3
32,391,"[4, 9, 25]",0.496,1,1,109.57805994898081,2.9723472088190155,3,3,2,5.124266154199134,semiprime,9.875733845800866,15.0,1.72787839134239,squared_primes_deduplicated,0.0,[17],True,109.57805994898081,32,15,3,3,9,5,3,34,19,15,"[2, 3, 5]",False,[],2.449489742783178,88,32768,5.124266154199134,3
